scnno,timestamp,value,lat,lon,bearinglookup,bearing
N66152K,2016-06-15 12:25:10,6,52.5249838444,-1.8399778051
N66161P,2016-06-15 12:25:10,27,52.5282312597,-1.84151374723
N66181J,2016-06-15 12:25:10,41,52.5377263495,-1.83620147318
N66181L,2016-06-15 12:25:10,38,52.5356147746,-1.83696119645
N67111F,2016-06-15 12:25:10,22,52.5176329576,-1.8999827783
N67111G,2016-06-15 12:25:10,30,52.5188373784,-1.899714783
N67111K,2016-06-15 12:25:10,46,52.5188463683,-1.89971476258
N71111H,2016-06-15 12:25:10,33,52.5052339563,-1.86220715864
N71151A,2016-06-15 12:25:10,53,52.5060048645,-1.86815680257
N71161C,2016-06-15 12:25:10,57,52.5033578028,-1.87270213478
N71171K,2016-06-15 12:25:10,43,52.5043831722,-1.87318534334
N74111V,2016-06-15 12:25:10,46,52.5139237076,-1.82542982198
N74111W,2016-06-15 12:25:10,30,52.5130736538,-1.82815919141
N74111X,2016-06-15 12:25:10,41,52.5116247004,-1.83335144259
N74112Q,2016-06-15 12:25:10,43,52.5135665966,-1.82712579824
N74113P,2016-06-15 12:25:10,35,52.5158143977,-1.82128150055
N74121J,2016-06-15 12:25:10,33,52.516648201,-1.81978974969
N74121K,2016-06-15 12:25:10,33,52.5158769932,-1.82106020536
N74121L,2016-06-15 12:25:10,57,52.5143005865,-1.82495679222
N74121M,2016-06-15 12:25:10,28,52.5160121523,-1.82126596324
N74131A,2016-06-15 12:25:10,40,52.5176334769,-1.81742785333
N74131C,2016-06-15 12:25:10,24,52.5159939948,-1.82114814764
N74131D,2016-06-15 12:25:10,32,52.515994017,-1.8211628837
N74131E,2016-06-15 12:25:10,16,52.5172719076,-1.82204189736
N74143S,2016-06-15 12:25:10,33,52.5167814535,-1.81874292024
N74152Y,2016-06-15 12:25:10,46,52.5086619717,-1.84282165984
N74161S,2016-06-15 12:25:10,37,52.5095510443,-1.83551043587
N74171P,2016-06-15 12:25:10,30,52.5095326758,-1.83523055868
N74181D,2016-06-15 12:25:10,32,52.5129930177,-1.83467243725
N74191A,2016-06-15 12:25:10,38,52.5087539309,-1.84438310664
N74212Y,2016-06-15 12:25:10,33,52.5089645296,-1.84732912205
N74221G,2016-06-15 12:25:10,46,52.5090704825,-1.84584063921
N81111J,2016-06-15 12:25:10,32,52.466623638,-1.84872656904
N81111K,2016-06-15 12:25:10,24,52.4654309169,-1.84406464804
N81121Y,2016-06-15 12:25:10,80,52.4659911975,-1.84628530667
N81131M,2016-06-15 12:25:10,28,52.4727128166,-1.86613619453
N81131X,2016-06-15 12:25:10,16,52.4735407204,-1.86686978504
N81141B,2016-06-15 12:25:10,46,52.4694848374,-1.85791715305
N81141C,2016-06-15 12:25:10,25,52.4681950776,-1.85446205818
N81141D,2016-06-15 12:25:10,43,52.4692415786,-1.85747631932
N81151P,2016-06-15 12:25:10,27,52.4692414723,-1.85738799654
N81151Q,2016-06-15 12:25:10,12,52.4681678545,-1.85425606554
N81151R,2016-06-15 12:25:10,22,52.4671385849,-1.85071198247
N81171G,2016-06-15 12:25:10,17,52.4723972347,-1.86531274217
N81172K,2016-06-15 12:25:10,37,52.4697914809,-1.85874052683
N81181B,2016-06-15 12:25:10,80,52.4654128207,-1.8439763964
N81181C,2016-06-15 12:25:10,32,52.4652048079,-1.84303510335
N81182Y,2016-06-15 12:25:10,33,52.464680149,-1.84060833115
N82121K,2016-06-15 12:25:10,41,52.4628274899,-1.82726543625
N82124M,2016-06-15 12:25:10,41,52.4630467854,-1.82970784342
N82131A,2016-06-15 12:25:10,80,52.4632246607,-1.83469673554
N82131B,2016-06-15 12:25:10,19,52.4618419475,-1.8359529408
N82141R,2016-06-15 12:25:10,37,52.4633663958,-1.83319491195
