,measurement_id,lon,lat,source,coords,Name,nodeId,wayId
95,N38112F,-1.906834025,52.45534717,Scoot,"(-1.906834025, 52.455347170000003)",Edgbaston Road,3809719173,4704582-0
96,N76111D,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
97,N66141X,-1.82676878,52.53693982,Scoot,"(-1.8267687800000001, 52.536939820000001)",Birmingham Road,130597,10608481-1
98,N33131Y,-1.899630564,52.4715862,Scoot,"(-1.899630564, 52.471586200000012)",Bristol Street,3796720719,376546469-0
99,N46121S,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
100,N24211A,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
101,N24211D,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
102,N82111X,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
103,N36111D,-1.972949032,52.41248021,Scoot,"(-1.9729490319999998, 52.412480209999998)",West Boulevard,313887521,28576127-0
104,N81161F,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
105,N38112A,-1.903921418,52.45482343,Scoot,"(-1.9039214180000001, 52.454823429999998)",Edgbaston Road,3809723076,4704583-3
106,N43161G,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
107,N85111C,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
108,N14141M,-1.888001066,52.44820181,Scoot,"(-1.888001066, 52.44820181)",Alcester Road,3796998622,380954630-0
109,N13121K,-1.876950071,52.46448972,Scoot,"(-1.876950071, 52.464489720000003)",Stratford Road,3796678096,74876934-0
110,N90161M,-1.929356603,52.54303252,Scoot,"(-1.9293566030000002, 52.543032519999997)",Old Walsall Road,246646168,22910688-0
111,N43211Z,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
112,N82124M,-1.829707847,52.4630468,Scoot,"(-1.8297078469999999, 52.463046800000001)",Coventry Road,3796592053,376537136-0
113,N33121C,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
114,N81131M,-1.866136198,52.47271283,Scoot,"(-1.8661361980000002, 52.472712829999999)",Coventry Road,3794287075,376525695-0
115,N66151B,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
116,N36121E,-1.973214184,52.41160823,Scoot,"(-1.9732141840000001, 52.411608229999999)",West Boulevard,313887521,28576127-0
117,N84111R,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
118,N13161A,-1.875086409,52.46249199,Scoot,"(-1.8750864090000001, 52.462491989999997)",Stratford Road,3796680273,33741890-0
119,N44151K,-1.942925876,52.47159693,Scoot,"(-1.9429258759999999, 52.471596929999997)",Norfolk Road,3797941421,4315970-0
120,N92111C,-1.854898672,52.54591351,Scoot,"(-1.8548986719999998, 52.545913509999998)",Flackwell Road,229027,5001283-0
121,N85111A,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
122,N13141W,-1.880991296,52.46142826,Scoot,"(-1.8809912959999999, 52.461428259999998)",Highgate Road,3796703678,376543122-1
123,N43161H,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
124,N43211X,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
125,N84111P,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
126,N66111B,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
127,N53141Q,-1.895330773,52.49696113,Scoot,"(-1.8953307730000002, 52.496961130000003)",High Street,3796799640,376547447-1
128,N13112X,-1.883490658,52.46244661,Scoot,"(-1.8834906580000002, 52.462446610000001)",Highgate Road,3796646131,8022982-0
129,N13111A,-1.882255501,52.46200488,Scoot,"(-1.8822555009999999, 52.462004880000002)",Highgate Road,3796710953,8022982-0
130,N37131A,-1.900520232,52.47529082,Scoot,"(-1.9005202319999999, 52.475290819999998)",Holloway Circus Queensway,221421,38182476-2
131,N74161S,-1.83551044,52.50955105,Scoot,"(-1.83551044, 52.509551049999999)",Wheelwright Road,3798184965,217751379-1
132,N66131R,-1.82696291,52.53631082,Scoot,"(-1.82696291, 52.536310819999997)",Birmingham Road,3799182015,10608481-1
133,N54121Y,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
134,N43191S,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
