scnno,timestamp,value,lat,lon,bearinglookup,bearing
N74111V,2016-06-15 10:50:10,56,52.5139237076,-1.82542982198,241,SW
N74111W,2016-06-15 10:50:10,12,52.5130736538,-1.82815919141,330,NW
N74111X,2016-06-15 10:50:10,46,52.5116247004,-1.83335144259,59,NE
N74112Q,2016-06-15 10:50:10,47,52.5135665966,-1.82712579824,62,NE
N74113P,2016-06-15 10:50:10,75,52.5158143977,-1.82128150055,232,SW
N74121J,2016-06-15 10:50:10,79,52.516648201,-1.81978974969,226,SW
N74121K,2016-06-15 10:50:10,14,52.5158769932,-1.82106020536,318,NW
N74121L,2016-06-15 10:50:10,43,52.5143005865,-1.82495679222,53,NE
N74121M,2016-06-15 10:50:10,13,52.5160121523,-1.82126596324,140,SE
N74131A,2016-06-15 10:50:10,42,52.5176334769,-1.81742785333,231,SW
N74131C,2016-06-15 10:50:10,51,52.5159939948,-1.82114814764,47,NE
N74131D,2016-06-15 10:50:10,33,52.515994017,-1.8211628837,47,NE
N74131E,2016-06-15 10:50:10,4,52.5172719076,-1.82204189736,105,E
N74143S,2016-06-15 10:50:10,60,52.5167814535,-1.81874292024,94,E
N74152Y,2016-06-15 10:50:10,55,52.5086619717,-1.84282165984,264,W
N74161S,2016-06-15 10:50:10,21,52.5095510443,-1.83551043587,264,W
N74171P,2016-06-15 10:50:10,35,52.5095326758,-1.83523055868,132,SE
N74181D,2016-06-15 10:50:10,18,52.5129930177,-1.83467243725,167,S
N74212Y,2016-06-15 10:50:10,82,52.5089645296,-1.84732912205,78,E
N74221G,2016-06-15 10:50:10,59,52.5090704825,-1.84584063921,100,E
N81111J,2016-06-15 10:50:10,31,52.466623638,-1.84872656904,113,SE
N81141B,2016-06-15 10:50:10,11,52.4694848374,-1.85791715305,210,SW
N81141C,2016-06-15 10:50:10,14,52.4681950776,-1.85446205818,300,NW
N81141D,2016-06-15 10:50:10,14,52.4692415786,-1.85747631932,13,N
N81151P,2016-06-15 10:50:10,32,52.4692414723,-1.85738799654,120,SE
N81151Q,2016-06-15 10:50:10,17,52.4681678545,-1.85425606554,208,SW
N81151R,2016-06-15 10:50:10,38,52.4671385849,-1.85071198247,292,NW
N81171G,2016-06-15 10:50:10,31,52.4723972347,-1.86531274217,122,SE
N81172K,2016-06-15 10:50:10,16,52.4697914809,-1.85874052683,303,NW
N82121K,2016-06-15 10:50:10,72,52.4628274899,-1.82726543625,97,E
N82124M,2016-06-15 10:50:10,62,52.4630467854,-1.82970784342,98,E
N82131B,2016-06-15 10:50:10,56,52.4618419475,-1.8359529408,24,NE
N82141R,2016-06-15 10:50:10,25,52.4633663958,-1.83319491195,222,SW
N82151G,2016-06-15 10:50:10,21,52.4610581038,-1.83471955478,297,NW
N82151H,2016-06-15 10:50:10,44,52.4604772409,-1.83723843613,27,NE
N82151J,2016-06-15 10:50:10,42,52.4617904601,-1.83773401449,103,E
N82161B,2016-06-15 10:50:10,82,52.462179117,-1.82048289343,276,W
N82161F,2016-06-15 10:50:10,25,52.4637025776,-1.82324381728,211,SW
N83111S,2016-06-15 10:50:10,57,52.4520125822,-1.78353120074,288,W
N83151L,2016-06-15 10:50:10,119,52.4530086707,-1.78749940567,292,NW
N83151N,2016-06-15 10:50:10,37,52.4534065181,-1.78877772017,121,SE
N83162Y,2016-06-15 10:50:10,65,52.4514612025,-1.77707418822,94,E
N83181H,2016-06-15 10:50:10,104,52.4614582359,-1.80794614316,286,W
N83191A,2016-06-15 10:50:10,11,52.457422005,-1.79732358653
N83192X,2016-06-15 10:50:10,1,52.4607945344,-1.80341597171,130,SE
N84112A,2016-06-15 10:50:10,15,52.4514460109,-1.77856043971,318,NW
N84112B,2016-06-15 10:50:10,67,52.4514369384,-1.77851634136,275,W
N84112D,2016-06-15 10:50:10,14,52.4520840981,-1.78331012833,108,E
N84112E,2016-06-15 10:50:10,117,52.4520840442,-1.78328069896,288,W
N90111X,2016-06-15 10:50:10,30,52.5430322968,-1.9290027156,139,SE
